date,weekday,workingday,holiday
20231001,7,0,1
20231002,1,1,0
20231003,2,1,0
20231004,3,1,0
20231005,4,1,0
20231006,5,1,0
20231007,6,0,0
20231008,7,0,0
20231009,1,0,1
20231010,2,0,1
20231011,3,1,0
20231012,4,1,0
20231013,5,1,0
20231014,6,0,0
20231015,7,0,0
20231016,1,1,0
20231017,2,1,0
20231018,3,1,0
20231019,4,1,0
20231020,5,1,0
20231021,6,0,0
20231022,7,0,0
20231023,1,1,0
20231024,2,1,0
20231025,3,1,0
20231026,4,1,0
20231027,5,1,0
20231028,6,0,0
20231029,7,0,0
20231030,1,1,0
20231031,2,1,0
20231101,3,1,0
20231102,4,1,0
20231103,5,1,0
20231104,6,0,0
20231105,7,0,0
20231106,1,1,0
20231107,2,1,0
20231108,3,1,0
20231109,4,1,0
20231110,5,1,0
20231111,6,0,0
20231112,7,0,0
20231113,1,1,0
20231114,2,1,0
20231115,3,0,0
20231116,4,1,0
20231117,5,1,0
20231118,6,0,0
20231119,7,0,0
20231120,1,1,0
20231121,2,1,0
20231122,3,1,0
20231123,4,1,0
20231124,5,0,0
20231125,6,0,0
20231126,7,0,0
20231127,1,1,0
20231128,2,1,0
20231129,3,1,0
20231130,4,1,0
20231201,5,1,0
20231202,6,0,0
20231203,7,0,0
20231204,1,1,0
20231205,2,1,0
20231206,3,1,0
20231207,4,1,0
20231208,5,1,0
20231209,6,0,0
20231210,7,0,0